Distance,f3,f4,f5,f6,f7,f8
0,1330,840,175,289,212,184
0.01222,1354.454,948.083,174.437,291.607,229.958,195
0.02444,1360.58,1055.189,174.127,300.225,247.395,206.182
0.03665,1366.984,1161.104,188.036,307.542,266.168,217.545
0.04887,1375.253,1250.187,202.206,314.191,295.707,234.848
0.06109,1385.151,1337.841,213.655,320.402,326.581,253.212
0.07331,1388.191,1425.553,223.143,341.277,357.934,271.455
0.08552,1390.571,1513.312,246.028,361.977,390.102,289.909
0.09774,1400.926,1560.232,276.127,382.658,427.461,310.182
0.10996,1419.066,1594.607,303.393,401.873,465.731,330.455
0.12218,1444.094,1631.087,328.81,441.361,504.575,350.03
0.13439,1486.43,1668.736,362.472,483.852,543.994,370.333
0.14661,1535.843,1676.016,411.286,526.096,580.263,388
0.15883,1593.168,1658.915,457.925,568.271,617.066,406.121
0.17105,1658.466,1645.054,502.056,624.428,654.677,423.939
0.18326,1765.631,1634.351,545.071,684.04,692.389,441.818
0.19548,1890.116,1617.743,597.444,744.561,718.748,452.242
0.2077,2027.852,1593.36,648.563,805.89,744.922,462.273
0.21992,2175.796,1572.343,698.429,866.068,771.329,472.909
0.23214,2319.99,1555.559,747.04,927.571,797.737,483.515
0.24435,2479.013,1545.003,788.73,989.968,811.186,488.727
0.25657,2651.135,1541.904,830,1053.994,823.527,494
0.26879,2836.156,1542.625,861.952,1105.624,835.581,499.333
0.28101,3022.754,1546.565,891.984,1153.654,847.449,504.727
0.29322,3175.008,1556.84,912.857,1202.78,851.976,516.909
0.30544,3342.418,1586.699,929.988,1253.001,856.216,530.212
0.31766,3524.985,1620.191,947.397,1289.755,859.413,542.849
0.32988,3722.707,1655.775,965.107,1320.428,863.126,555.545
0.34209,3844.457,1689.489,984.222,1351.539,869.575,581
0.35431,3893.641,1737.827,1007.687,1382.686,876.024,607.636
0.36653,3949.473,1789.581,1034.286,1408.414,882.036,633.455
0.37875,4015.837,1843.99,1063.968,1430.518,888.437,659.515
0.39096,4042.264,1902.256,1097.302,1452.455,904.904,685.606
0.40318,4027.711,1985.456,1144.321,1473.997,920.982,711
