Distance,Cristea,mt-opto-condensate
0,684,611
0.017632229,721,674
0.035264457,768,719
0.052896686,810,748
0.070528914,810,748
0.088161143,842,743
0.105793371,878,745
0.1234256,886,715
0.141057829,852,678
0.158690057,873,698
0.176322286,839,720
0.193954514,789,797
0.211586743,789,797
0.229218971,732,924
0.2468512,734,1067
0.264483429,684,1221
0.282115657,694,1340
0.299747886,668,1421
0.317380114,690,1458
0.335012343,654,1425
0.352644571,650,1350
0.3702768,681,1312
0.387909029,704,1249
0.405541257,696,1097
0.423173486,703,1033
0.440805714,679,946
0.458437943,682,903
0.476070171,658,797
0.4937024,661,776
0.511334629,666,751
0.528966857,672,693
0.546599086,694,647
0.564231314,739,627
0.581863543,739,627
0.599495771,786,606
0.617128,846,592
0.634760228,892,596
0.652392457,942,618
0.670024686,964,647
0.687656914,966,677
0.705289143,960,719
0.722921371,929,742
0.7405536,885,754
0.758185828,838,775
0.775818057,793,780
0.793450286,752,784
0.811082514,723,811
0.828714743,723,811
0.846346971,705,830
0.8639792,709,853
0.881611428,719,873
0.899243657,731,885
0.916875886,742,887
0.934508114,775,876
0.952140343,780,867
0.969772571,778,856
0.9874048,768,845
1.005037028,752,839
1.022669257,732,838
1.040301486,724,861
1.057933714,704,865
1.075565943,687,860
1.093198171,676,844
1.1108304,671,816
1.128462628,682,778
1.146094857,692,732
1.163727086,704,684
1.181359314,717,633
1.198991543,717,633
1.216623771,723,601
1.234256,710,568
1.251888228,696,555
1.269520457,670,544
1.287152686,619,524
1.304784914,579,512
1.322417143,537,499
1.340049371,501,479
1.3576816,478,470
1.375313828,484,481
1.392946057,484,481
1.410578286,516,521
1.428210514,535,531
1.445842743,588,590
1.463474971,636,645
1.4811072,648,638
1.498739428,648,621
1.516371657,671,671
1.534003886,675,694
