Distance,Cristea,mt-opto-condensate
0,735,691
0.017560008,774,707
0.035120015,905,766
0.052680023,931,768
0.070240031,940,761
0.087800038,929,747
0.105360046,899,732
0.122920054,988,780
0.140480062,936,767
0.158040069,870,758
0.175600077,855,794
0.193160085,777,798
0.210720092,707,804
0.2282801,649,810
0.245840108,635,850
0.263400115,608,847
0.280960123,597,836
0.298520131,623,837
0.316080139,636,806
0.333640146,650,764
0.351200154,702,736
0.368760162,716,688
0.386320169,762,667
0.403880177,762,667
0.421440185,796,661
0.439000192,792,633
0.4565602,773,607
0.474120208,785,640
0.491680215,748,628
0.509240223,746,674
0.526800231,694,672
0.544360239,731,720
0.561920246,703,765
0.579480254,641,770
0.597040262,591,820
0.614600269,528,823
0.632160277,532,874
0.649720285,477,876
0.667280292,437,868
0.6848403,416,851
0.702400308,423,899
0.719960315,450,878
0.737520323,458,941
0.755080331,508,922
0.772640339,586,956
0.790200346,658,944
0.807760354,728,932
0.825320362,790,916
0.842880369,869,928
0.860440377,909,899
0.878000385,932,863
0.895560392,969,850
0.9131204,961,817
0.930680408,936,791
0.948240416,894,774
0.965800423,841,768
0.983360431,811,820
1.000920439,811,820
1.018480446,766,870
1.036040454,708,880
1.053600462,658,883
1.071160469,621,876
1.088720477,598,861
1.106280485,624,859
1.123840492,635,840
1.1414005,655,825
1.158960508,678,819
1.176520516,702,823
1.194080523,760,833
1.211640531,769,855
1.229200539,768,879
1.246760546,757,900
1.264320554,736,912
1.281880562,708,913
1.299440569,672,902
1.317000577,643,893
1.334560585,602,874
1.352120592,560,855
1.3696806,518,838
1.387240608,476,826
1.404800616,488,866
1.422360623,453,870
1.439920631,421,872
1.457480639,393,866
1.475040646,393,910
1.492600654,381,873
1.510160662,374,814
1.527720669,408,797
