Distance_uM,Normalized
0,0.105331821
0.04887,0.099381246
0.09774,0.093506855
0.14661,0.086714581
0.19548,0.075832635
0.24435,0.06112795
0.29322,0.073110021
0.34209,0.157717262
0.39096,0.344620564
0.43984,0.611308307
0.48871,0.87591955
0.53758,0.999999517
0.58645,0.8989807
0.63532,0.676193542
0.68419,0.430650359
0.73306,0.231947615
0.78193,0.134026724
0.8308,0.108490656
0.87967,0.112861572
0.92854,0.114062535
0.97741,0.105351157
1.02628,0.095056447
1.07515,0.093640081
1.12402,0.10307627
1.17289,0.114351802
