Distance_um,Bulbous
0,1971
0.01222,1929.398
0.02444,1888.617
0.03665,1846.654
0.04887,1805.391
0.06109,1778.94
0.07331,1753.308
0.08552,1727.158
0.09774,1701.947
0.10996,1724.857
0.12218,1747.188
0.13439,1770.368
0.14661,1793.391
0.15883,1830.917
0.17105,1868.684
0.18326,1905.88
0.19548,1943.895
0.2077,1943.195
0.21992,1943.135
0.23214,1942.143
0.24435,1941.331
0.25657,1905.684
0.26879,1869.594
0.28101,1833.647
0.29322,1796.857
0.30544,1789.15
0.31766,1781.684
0.32988,1774.459
0.34209,1767.474
0.35431,1825.218
0.36653,1884.248
0.37875,1943.015
0.39096,2003.226
0.40318,2112.962
0.4154,2223.338
0.42762,2334.316
0.43984,2445.895
0.45205,2658.188
0.46427,2872
0.47649,3086.414
0.48871,3301.428
0.50092,3733.045
0.51314,4164.79
0.52536,4597.669
0.53758,5031.15
0.54979,5642.586
0.56201,6255.301
0.57423,6868.03
0.58645,7481.421
0.59866,8044.579
0.61088,8608.15
0.6231,9172.09
0.63532,9735.888
0.64754,10089.699
0.65975,10442.707
0.67197,10796.128
0.68419,11148.685
0.69641,11335.571
0.70862,11521.677
0.72084,11706.774
0.73306,11891.346
0.74528,12002.466
0.75749,12113.685
0.76971,12223
0.78193,12331.413
0.79415,12379.609
0.80636,12427.323
0.81858,12469.195
0.8308,12506.639
0.84302,12442.947
0.85524,12378
0.86745,12313.616
0.87967,12248.037
0.89189,12040.309
0.90411,11832.939
0.91632,11625.933
0.92854,11419.571
0.94076,11067.526
0.95298,10717.263
0.96519,10367.158
0.97741,10017.895
0.98963,9597.526
1.00185,9178.888
1.01406,8761.075
1.02628,8344.526
1.0385,7969.684
1.05072,7595.458
1.06293,7222.609
1.07515,6851.376
1.08737,6564.195
1.09959,6277.316
1.11181,5991.21
1.12402,5704.993
1.13624,5451.105
1.14846,5196.744
1.16068,4941.429
1.17289,4686.526
1.18511,4429.053
1.19733,4171.579
1.20955,3914.105
1.22176,3656.639
1.23398,3450.421
1.2462,3243.699
1.25842,3037.361
1.27063,2832.444
1.28285,2709.947
1.29507,2588.684
1.30729,2467.782
1.31951,2347.489
1.33172,2255.226
1.34394,2163.391
1.35616,2071.075
1.36838,1979.632
1.38059,1890.97
1.39281,1803.429
1.40503,1715.008
1.41725,1627.707
1.42946,1596.97
1.44168,1566.722
1.4539,1535.895
1.46612,1505.398
1.47833,1535.865
1.49055,1567.03
1.50277,1597.195
1.51499,1627.729
1.52721,1648.203
1.53942,1668.105
1.55164,1687.887
1.56386,1708.158
1.57608,1688.647
1.58829,1669.165
1.60051,1649.504
1.61273,1629.812
1.62495,1594
