Distance_um,Tubular
0,1955
0.01222,1951.67
0.02444,1949.548
0.03665,1945.937
0.04887,1948.538
0.06109,1955.989
0.07331,1966.351
0.08552,1978.783
0.09774,1994.212
0.10996,2009.055
0.12218,2002.615
0.13439,1998.224
0.14661,1996.079
0.15883,1995.492
0.17105,1982.074
0.18326,1966.406
0.19548,1953.683
0.2077,1915.42
0.21992,1882.09
0.23214,1823.444
0.24435,1770.673
0.25657,1725.441
0.26879,1688.302
0.28101,1657.261
0.29322,1594.615
0.30544,1538.7
0.31766,1492.506
0.32988,1456.329
0.34209,1429.69
0.35431,1411.645
0.36653,1405.358
0.37875,1397.982
0.39096,1396.07
0.40318,1396.35
0.4154,1397.086
0.42762,1405.288
0.43984,1420.747
0.45205,1442.577
0.46427,1446.221
0.47649,1438.53
0.48871,1433.353
0.50092,1430.153
0.51314,1429.617
0.52536,1418.595
0.53758,1407.465
0.54979,1387.308
0.56201,1357.294
0.57423,1328.198
0.58645,1317.189
0.59866,1309.547
0.61088,1305.315
0.6231,1304.667
0.63532,1311.076
0.64754,1351.993
0.65975,1409.817
0.67197,1485.419
0.68419,1578.162
0.69641,1698.443
0.70862,1858.427
0.72084,2052.509
0.73306,2297.359
0.74528,2578.099
0.75749,2885.726
0.76971,3221.536
0.78193,3591.02
0.79415,3994.609
0.80636,4423.8
0.81858,4751.715
0.8308,5057.222
0.84302,5370.84
0.85524,5691.787
0.86745,6020.982
0.87967,6139.433
0.89189,6217.531
0.90411,6140.121
0.91632,6050.97
0.92854,5930.901
0.94076,5636.023
0.95298,5331.954
0.96519,5019.192
0.97741,4697.531
0.98963,4286.343
1.00185,3879.359
1.01406,3494.301
1.02628,3130.912
1.0385,2790.37
1.05072,2515.603
1.06293,2312.591
1.07515,2125.261
1.08737,1961.501
1.09959,1823.446
1.11181,1756.237
1.12402,1729.115
1.13624,1715.347
1.14846,1714.202
1.16068,1715.008
1.17289,1732.267
1.18511,1754.054
1.19733,1776.742
1.20955,1800.055
1.22176,1824.854
1.23398,1836.304
1.2462,1830.222
1.25842,1813.653
1.27063,1796.412
1.28285,1777.238
1.29507,1750.554
1.30729,1723.843
1.31951,1697.823
1.33172,1660.413
1.34394,1615.595
1.35616,1578.142
1.36838,1543.488
1.38059,1512.15
1.39281,1483.657
1.40503,1462.704
1.41725,1444.47
1.42946,1421.678
1.44168,1399.417
1.4539,1379.136
1.46612,1359.646
1.47833,1341.431
1.49055,1323.268
1.50277,1303.509
1.51499,1277.517
1.52721,1257.462
1.53942,1237.221
1.55164,1215.662
1.56386,1192.993
1.57608,1171.277
1.58829,1170.118
1.60051,1180.577
1.61273,1192.341
1.62495,1205.806
